How would you categorise yourself in college? (This in no way will determine your selection. It is just for us to get a better understanding of your academic performance if you think it is necessary for us to know),How much would you rate the look of the platform on a scale of 1-10 where 1 is the least rating while 10 is the highest ?,What do you think can be improved in the UI/UX part of the platform?,"Would you prefer Widhya's approach of ""Learning by Doing"" as compared to the conventional theoretical approach ? ",Why did you choose Yes/No in your previous question? Please explain.,"On a scale of 1-10, how effective was the ""Widhya way of learning"" for you?",Why did you think Widhya's way of learning was effective for you?,"Did the ""Learning by Doing"" methodology of Widhya interest you and keep you occupied?",Was the Widhya way of learning helpful for you to learn something new?,"How long did you take to complete the Mission in minutes? Example: if you took 1.5 hours, then please mention 90 in the answer section below.",Which Mission did you complete?,Was the Mission effective for you in terms of learning/solving?,Why was the above mentioned Mission effective/not effective for you?,How easy or tough were the Missions for you on a scale of 1-5 where 1 implies extremely easy and 5 implies extremely tough?,Can anything be improved in the Missions to make your experience in the future much better?,How much would you rate the Mission on a scale of 1 to 10 where 1 is the least and 10 is the highest?,Did the Microtasks facilitate a progressive learning curve for you?,What do you think can be improved in every Microtask?,"Overall, on a scale of 1-10, how much would you rate the effectiveness of each Microtask?",How satisfied are you with Widhya's platform?,How likely are you to recommend the platform to your friends/family to use and improve on their skills?,Did you learn something new from the Missions?,"If yes, then what did you learn out the Missions on the platform?",What new topics would you like Widhya to cover in the Missions format in the days to come?,What new skills did you learn after solving Missions on Widhya's platform?
Top 5% in class,9,It will be better if their will be a cloud jupyter notebook ,Yes,"Yes, because by doing step by step task it becomes easy for one to understand the concept behind a workflow",8,"Somewhat ,as I already knew some of the concepts",Maybe,Yes,20,Data Science Mission,Maybe,Somewhat effective,1,Add more complex task for deep understanding using more pratical handling with data,8,Yes,Add more deep content,7,9,9,No,,Deep Learning,plots
Top 2% in class,10,Every thing reachable for user,Yes,By learning by doing is  only get experience as well as we can learn a lot,10,"Readability, visuality and understandable",Yes,Yes,45,Data Science Mission,Yes,capable of producing a result by doing all tasks,2,more  missions is needed,10,Yes,"yes, It is good i hope  look much more explanations",10,10,10,Yes,the way of understand by steps wise ,Visualization ,Deep learnings
Top 2% in class,7,No,Yes,I feel it quite good and pretty comfortable.,8,Yes. I can able to understand my skills and how to improve it.,Yes,Yes,8,Data Science Mission,Maybe,Because I like data Science.,4,Give a proper description about the question.,7,Yes,yes it can improved.,7,8,8,Yes,Its a good platform and I learned about ML algorithm.,Graphic design,Machine learning algorithms. Split a dataset into train and test model. How to find MSE.
Top 10% in class,9,I feel that the Ui is user friendly,Yes,"By practicing what we learn, it's more effective and we understand totally how to apply the concepts to any dataset",10,I got to practice the skills by solving a real case scenario,Yes,Yes,30,Data Science Mission,Yes,It helped me practice my data science skills,2,The missions can be made a bit tougher ,10,Yes,The difficulty level,10,10,10,Yes,,Mainly data preprocessing and feature engineering part,I learnt about MSE and also learnt to solve the problems faster . I kept myself a small deadline to finish the tasks.. it was very interesting to solve the tasks
Top 10% in class,9,The UI and UX are pretty friendly and I had a good experience so no complains on UI/UX part .,Yes,"I believe mugging up theory and doing little practical is not very useful . After all , you will only be applying your practical knowledge in life . So I believe learning by doing is really great .",10,"Its because I never liked the conventional way of teaching in India . Writing assignments , practical files and theory . I believe learning something by doing something help you retain the thing for much longer .",Yes,Yes,45,Data Science Mission,Yes,It was effective because I got an oppurtunity to apply my knowledge and skills to a dataset which was completely new for me .,3,"yeah I faced some problems in last microtask, so it was just that I was feeding the exact value whereas the answer expects me to round off to nearest integer . So I just feel it should have been written down .",8,Yes,Nothing they were perfectly designed .,8,9,7,Yes,How to optimise a Machine Learning model .,Computer Vision,Optimising a machine learning model .
,8,"I suggest that the interface should include some animation, so that when one scrolls down the page the dashboard pane should go upwards and take little space so that more space can be given to read the task.",Yes,If we perform some practical tasks related to the topic then we learn more efficiently and faster than learning the concepts theoretically.,9,Widhya's way of learning is learn by doing which makes us understand simply by performing the tasks.,Yes,Yes,40,Data Science Mission,Yes,It was effective for me because I have learnt some new concepts.,3,No suggestions,8,Yes,Some introductory information should be provided in every mission to make more understandable.,8,8,8,Yes,Multivariate regression,NLP,I have learnt multivariate regression.
Top 10% in class,9,User experience need to be improved after the mission success I haven't redirected to any other page instead I had got stuck in website. The Interface seems to be neat and clean.Kudos to design team..,Yes,Learning by Doing could really help student to gain practical skills and help better in developing projects.,10,The missions were recalling whole foundations need to be have and experience learning by doing could really help students.,Yes,Yes,30,Data Science Mission,Yes,The mission covered all the foundational basics need to have in Data Scientist,3,Adding sub mission and more micro tasks could do better,9,Yes,More micro tasks and little practical example what we are learning is used in Industry and how it is used.,10,9,8,Yes,filling up nan values and EDA,Web Development ,EDA
Top 25% in class,9,The 'Ask for help' option is not active. Rest of the UI is pretty cool,Yes,"Yes, because 'Learning by doing' helps remembering the things in a better way while the other is kind of mugging up stuffs",9,"Stepwise detailed questions, basic hints and its about practical knowledge which was quite helpful. Even when we solve the questions we gain confidence which not in the case of theoretical study",Yes,Yes,20,Data Science Mission,Yes,Effective,3,No I found it easy going,10,Yes,Graphs can be added as a question,8,9,10,Yes,Seaborn was new to me,Neural networks,Seaborn
Top 25% in class,9,I think dashboard where there is need of onclick event on on going events.,Yes,"I choose Yes. Because I think if you want to be a data scientist then you have to learn by doing different features of the dataset. Because of their features and relationship between variables, we need to find it by doing data viz.",10,"Because, it was explained beautifully even if its beginner, he/she can understand it clearly.",Yes,Yes,30,Data Science Mission,Yes,"I want to be a Data Scientist. And it explains pretty nicely, that's why it was effective for me.",2,No,10,Yes,Nothing as of now.,10,10,10,Yes,,NLP,I already knew basics.
Top 10% in class,8,UI is nice but can be made a bit more graphical.,Yes,"Watching video can't help learning alone. We need to hands-on learning which is not always delivered through video tutorials. Also, while to write code watching a video we merely copy. Instead it's way better to let students research their own to learn. Let put the path their and learners should explore on their own.",9,It's a nice way to bring the methodology of learning by doing. Widhya can keep an entire projects diving into modules to let users do their own.,Yes,Yes,30,Data Science Mission,Yes,I enjoyed the last module for predicting bit coins price for the day.,3,Arrange as many test cases as possible( Not applicable to all missions),9,Yes,It's okay from me. Each module was well explained. In the last module you should have mentioned more description such as which kind of linear regression to be used etc.,9,9,9,Yes,"I have used these things earlier, but still just refreshed.","NLP hands-on, Deep learning-computer vision hands-on",No I knew these things earlier but on theory level mostly.
Top 25% in class,9,Nothing,Yes,I think 'Learning by Doing' is best because in industry practical knowledge is important than theoretical knowledge.,10,I know ML so for me very easy to complete the given task. If i get opportunity as intern then i think i learn lot of thinks and my skill is to be inhanced.,Yes,Yes,30,Data Science Mission,No,Mission is very basics so its easy to solve for me.,1,need to increase difficulty level of missions,3,Yes,improve difficulty levels,1,8,9,No,,end to end complete ML project,Data Science
Other,8,"The UI seems great. However, as a Grammar Nazi, the incorrect spelling of Welcome on the homepage put me off.",Yes,"Widhya's approach seemed effective because here, you are not listening to others but actually doing for yourself. You are getting your hands dirty working and that experience is really necessary.",8,"To be honest, the assignment was quite easy for me personally, and hence, I did not learn anything as such. But I like the initiative and feel that it will surely help beginners get real experience.",Yes,No,20,Data Science Mission,Maybe,"I found the mission really easy compared to my knowledge. I already knew the basics that were covered in the mission and hence, I did not learn anything new.",1,Better instructions and that column names and such details are allowed to be copied from the instructions.,7,Yes,Better instructions.,7,7,7,No,,Full Stack data science projects,Nothing as such as the missions comprised of topics that I already know.
Other,8,I think in general the number of questions could be increased. I found the interface interactive and fun to work with.,Yes,"I selected a yes because the purpose of an internship is to learn and develop a mindset about how companies work. Such a procedure ensures everyone who is sitting for the interview has an idea of what they can expect in the role, instead of just randomly applying for any role",8,"I have a habit of reading things and just leave it at that. This opportunity allows me to read and get my hands dirty by coding a bit, hence increasing my understanding of the ideas",Yes,Yes,40,Data Science Mission,Yes,It was effective since I got to code and find out the answers instead of conventional MCQs,2,Number of questions can be increased,7,Yes,I felt the Microtasks were very shallow. More questions can be asked,7,9,9,Yes,,Data visualisation can be covered,I have completed online courses offered in the Data Science domain so I already had an idea of whatever was being asked. However I was not very comfortable using MSE so the question helped me a bit with a new metric
